epoch,train_loss,valid_loss,accuracy,time
0,2.51826810836792,2.2203409671783447,0.32249999046325684,00:25
1,1.3943181037902832,1.0665099620819092,0.6899999976158142,00:24
2,0.8876352906227112,0.8663992285728455,0.7549999952316284,00:25
3,0.6088140606880188,0.5892741084098816,0.8395000100135803,00:26
4,0.5134939551353455,0.195465549826622,0.9359999895095825,00:27
5,0.44925516843795776,0.261680006980896,0.9185000061988831,00:29
6,0.3899558484554291,0.40595757961273193,0.8799999952316284,00:31
7,0.38843104243278503,0.2267865687608719,0.9275000095367432,00:34
8,0.3387829065322876,0.43320056796073914,0.8784999847412109,00:39
9,0.29505041241645813,0.17899839580059052,0.9440000057220459,00:38
