epoch,train_loss,valid_loss,accuracy,time
0,3.3254411220550537,2.3379247188568115,0.18479999899864197,00:22
1,3.074176073074341,3.5817480087280273,0.15960000455379486,00:24
2,2.8301424980163574,2.0762858390808105,0.3343999981880188,00:24
3,2.3916876316070557,1.5674562454223633,0.4848000109195709,00:26
4,1.8973740339279175,1.3572379350662231,0.5795999765396118,00:26
5,1.4743578433990479,1.2943412065505981,0.6588000059127808,00:27
6,1.1612043380737305,0.8508025407791138,0.7476000189781189,00:26
7,0.9632605314254761,1.2263163328170776,0.692799985408783,00:27
8,0.786501944065094,0.6723360419273376,0.798799991607666,00:28
9,0.6669511198997498,0.3013468384742737,0.8996000289916992,00:31
10,0.5967300534248352,0.30742913484573364,0.901199996471405,00:31
11,0.5274109840393066,0.34803566336631775,0.8903999924659729,00:24
12,0.41769614815711975,0.2180798053741455,0.9276000261306763,00:29
13,0.3878211975097656,0.4180483818054199,0.876800000667572,00:30
14,0.38483360409736633,0.39403578639030457,0.8763999938964844,00:26
15,0.3666023015975952,0.6752744317054749,0.8019999861717224,00:29
16,0.31457585096359253,0.21074746549129486,0.9344000220298767,00:31
17,0.30344223976135254,0.33306387066841125,0.9092000126838684,00:25
18,0.2808955907821655,0.3926633894443512,0.881600022315979,00:31
19,0.262220561504364,0.25566765666007996,0.9243999719619751,00:27
20,0.26909124851226807,0.15480268001556396,0.9516000151634216,00:31
21,0.25022849440574646,0.18028447031974792,0.9444000124931335,00:27
22,0.22740182280540466,0.2637772560119629,0.9196000099182129,00:30
23,0.20524585247039795,0.340656042098999,0.8948000073432922,00:31
24,0.2071780264377594,0.20147216320037842,0.9435999989509583,00:26
25,0.20417797565460205,0.23543044924736023,0.9259999990463257,00:25
26,0.18577738106250763,0.19317664206027985,0.9404000043869019,00:27
27,0.17994245886802673,0.26112473011016846,0.9259999990463257,00:31
28,0.18789908289909363,0.2107398957014084,0.9404000043869019,00:26
29,0.18033793568611145,0.14630240201950073,0.954800009727478,00:27
30,0.16287614405155182,0.1880115419626236,0.9440000057220459,00:32
31,0.15958639979362488,0.2529136538505554,0.9312000274658203,00:31
32,0.13913515210151672,0.1837749034166336,0.9484000205993652,00:25
33,0.1314466893672943,0.2644767761230469,0.9264000058174133,00:30
34,0.1356535106897354,0.28106898069381714,0.9215999841690063,00:26
35,0.15399108827114105,0.20847521722316742,0.9416000247001648,00:28
36,0.12453965842723846,0.20579643547534943,0.9459999799728394,00:31
37,0.11842110753059387,0.24801142513751984,0.9319999814033508,00:31
38,0.11919236183166504,0.17854724824428558,0.9516000151634216,00:27
39,0.12418162077665329,0.22046981751918793,0.9380000233650208,00:26
40,0.11613831669092178,0.1426522135734558,0.9639999866485596,00:30
41,0.1148451566696167,0.2588895857334137,0.9336000084877014,00:26
42,0.1401144415140152,0.2242516130208969,0.9323999881744385,00:25
43,0.128428652882576,0.2027578204870224,0.9408000111579895,00:25
44,0.11498229205608368,0.17561261355876923,0.9544000029563904,00:26
45,0.10764260590076447,0.28525662422180176,0.925599992275238,00:26
46,0.09890304505825043,0.1623764932155609,0.9484000205993652,00:25
47,0.0958867073059082,0.2386040985584259,0.9380000233650208,00:26
48,0.1010269969701767,0.1266040802001953,0.9667999744415283,00:25
49,0.10169433802366257,0.13221731781959534,0.9660000205039978,00:26
50,0.09154096245765686,0.14911681413650513,0.9592000246047974,00:25
51,0.09115900844335556,0.15668997168540955,0.9571999907493591,00:25
52,0.08774583041667938,0.17573677003383636,0.9516000151634216,00:26
53,0.07678274065256119,0.1449328064918518,0.9616000056266785,00:31
54,0.06826996058225632,0.15107186138629913,0.9567999839782715,00:26
55,0.09010438621044159,0.12507349252700806,0.9595999717712402,00:27
56,0.08851461112499237,0.14541852474212646,0.9660000205039978,00:31
57,0.08737143129110336,0.1344124972820282,0.9656000137329102,00:32
58,0.0801808312535286,0.15301038324832916,0.9599999785423279,00:25
59,0.08200535923242569,0.18561260402202606,0.951200008392334,00:27
60,0.08074171841144562,0.1359838843345642,0.9603999853134155,00:27
61,0.07609592378139496,0.15641652047634125,0.9531999826431274,00:27
62,0.07413174211978912,0.15824425220489502,0.9584000110626221,00:31
63,0.07058992981910706,0.2088727056980133,0.9455999732017517,00:27
64,0.08556538820266724,0.2027302384376526,0.9480000138282776,00:26
65,0.07853502780199051,0.20149391889572144,0.9527999758720398,00:26
66,0.08328092098236084,0.16539756953716278,0.9563999772071838,00:28
67,0.07252179831266403,0.10364480316638947,0.9692000150680542,00:32
68,0.07785047590732574,0.24684801697731018,0.9279999732971191,00:25
69,0.08436927199363708,0.14380750060081482,0.9595999717712402,00:29
70,0.07834088802337646,0.18330946564674377,0.9444000124931335,00:31
71,0.06429798156023026,0.13162627816200256,0.9616000056266785,00:25
72,0.06607186049222946,0.15963926911354065,0.951200008392334,00:28
73,0.06583485007286072,0.12168832868337631,0.9635999798774719,00:31
74,0.08002959936857224,0.18043415248394012,0.9484000205993652,00:32
75,0.07691454887390137,0.18572285771369934,0.949999988079071,00:32
76,0.06553772836923599,0.09157401323318481,0.9724000096321106,00:25
77,0.04676752910017967,0.20316152274608612,0.9444000124931335,00:27
78,0.04284732788801193,0.12694059312343597,0.9603999853134155,00:28
79,0.0517553947865963,0.17837056517601013,0.9544000029563904,00:28
epoch,train_loss,valid_loss,accuracy,time
