epoch,train_loss,valid_loss,accuracy,time
0,0.08099498599767685,0.08076407760381699,0.9812999963760376,00:32
1,0.03510097414255142,0.08845654129981995,0.9786999821662903,00:32
2,0.037040650844573975,0.08716177940368652,0.9793000221252441,00:30
3,0.02441483736038208,0.08060961961746216,0.9807999730110168,00:27
4,0.017817018553614616,0.09009028226137161,0.9804999828338623,00:33
5,0.00379213341511786,0.08062974363565445,0.9821000099182129,00:32
6,0.001118502696044743,0.07435991615056992,0.9858999848365784,00:30
7,0.0014597586123272777,0.07228700071573257,0.9864000082015991,00:25
