epoch,train_loss,valid_loss,accuracy,time
0,0.38969886302948,0.37548044323921204,0.8806999921798706,00:26
1,0.25633955001831055,0.29950982332229614,0.9146999716758728,00:27
2,0.16325929760932922,0.15225744247436523,0.9527999758720398,00:31
3,0.1117311343550682,0.12061192840337753,0.9642999768257141,00:33
4,0.07450313121080399,0.07507406920194626,0.9785000085830688,00:33
5,0.0388551726937294,0.07153794169425964,0.9804999828338623,00:33
6,0.013495284132659435,0.06024033948779106,0.9839000105857849,00:33
7,0.009191073477268219,0.05864660069346428,0.9847000241279602,00:33
