epoch,train_loss,valid_loss,accuracy,time
0,0.02241477556526661,0.0862974002957344,0.9801999926567078,00:32
1,0.02039519138634205,0.10770408809185028,0.9793000221252441,00:33
2,0.009314517490565777,0.10038843750953674,0.9815999865531921,00:32
3,0.009199448861181736,0.12093999236822128,0.9776999950408936,00:31
4,0.006728873588144779,0.11402911692857742,0.9807999730110168,00:25
5,0.0015088331419974566,0.10960298776626587,0.982200026512146,00:33
6,0.0010425630025565624,0.10273852199316025,0.9837999939918518,00:32
7,0.0003843836020678282,0.10065194964408875,0.9843999743461609,00:33
