epoch,train_loss,valid_loss,accuracy,time
0,0.03970418497920036,0.07957307994365692,0.9829000234603882,00:33
1,0.023862818256020546,0.09945572167634964,0.978600025177002,00:32
2,0.017044512555003166,0.10006741434335709,0.9787999987602234,00:30
3,0.017886726185679436,0.09618175029754639,0.9804999828338623,00:25
4,0.003924993332475424,0.09140635281801224,0.9825999736785889,00:32
5,0.0012085469206795096,0.0920206755399704,0.9847000241279602,00:32
6,0.000574734527617693,0.0805126503109932,0.9861999750137329,00:33
7,0.00036848289892077446,0.08073125034570694,0.9861000180244446,00:32
