epoch,train_loss,valid_loss,accuracy,time
0,0.04499613866209984,0.07564983516931534,0.9817000031471252,00:22
1,0.024598821997642517,0.0943351686000824,0.9775000214576721,00:33
2,0.02501004748046398,0.07941266894340515,0.9825999736785889,00:32
3,0.014158852398395538,0.08391936123371124,0.9810000061988831,00:32
4,0.006804648786783218,0.09773010015487671,0.9807000160217285,00:32
5,0.0016424282221123576,0.09158920496702194,0.9822999835014343,00:31
6,0.0006769225583411753,0.08331003040075302,0.9850999712944031,00:25
7,0.0005711117410100996,0.0835343673825264,0.9854999780654907,00:33
